id_producto;id_producto_alternativo;id_subcategoria_producto;desc_producto_english;desc_producto;costo;producto_terminado?;Color;nivel_Stock_seguridad;punto_reorden;precio_lista;talle;rango_talle;peso;dias_necesarios_producir;linea_producto;precio_proveedor;clase;estilo;modelo;fecha_inicio;fecha_fin;estado;EnglishProductSubcategoryName;desc_subcategoria;id_categoria_producto;EnglishProductCategoryName;desc_categoria
11;CR-7833;-1;Chainring;Chainring;;FALSO;Negro;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
12;CR-9981;-1;Crown Race;Corona De Carreras;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
13;CS-2812;-1;Chain Stays;Vainas;;FALSO;NA;1000;750;;;NA;;1;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
14;DC-8732;-1;Decal 1;Calcomanía 1;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
15;DC-9824;-1;Decal 2;2 Calcomanía;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
16;DT-2377;-1;Down Tube;Tubo De Down;;FALSO;NA;800;600;;;NA;;1;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
17;EC-M092;-1;Mountain End Caps;Tapas De La Montaña Fin;;FALSO;NA;1000;750;;;NA;;1;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
18;EC-R098;-1;Road End Caps;Tapas De Fin De Carreteras;;FALSO;NA;1000;750;;;NA;;1;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
19;EC-T209;-1;Touring End Caps;Caps Gira Fin;;FALSO;NA;1000;750;;;NA;;1;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
20;FE-3760;-1;Fork End;Tenedor Fin;;FALSO;NA;800;600;;;NA;;1;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
21;FH-2981;-1;Freewheel;Rueda Libre;;FALSO;Plateado;500;375;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
22;FW-1000;-1;Flat Washer 1;Arandela Plana 1;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
23;FW-1200;-1;Flat Washer 6;Arandela Plana 6;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
24;FW-1400;-1;Flat Washer 2;Arandela Plana 2;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
25;FW-3400;-1;Flat Washer 9;Arandela Plana 9;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
26;FW-3800;-1;Flat Washer 4;Arandela Plana 4;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
27;FW-5160;-1;Flat Washer 3;Arandela Plana 3;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
28;FW-5800;-1;Flat Washer 8;Arandela Plana 8;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
29;FW-7160;-1;Flat Washer 5;Arandela Plana 5;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
30;FW-9160;-1;Flat Washer 7;Arandela Plana De 7;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
31;FC-3654;-1;Fork Crown;Tenedor Corona;;FALSO;NA;800;600;;;NA;;1;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
32;FC-3982;-1;Front Derailleur Cage;Desviador Delantero De La Jaula;;FALSO;Plateado;800;600;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
33;FL-2301;-1;Front Derailleur Linkage;Desviador Delantero Vinculación;;FALSO;Plateado;800;600;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
34;GP-0982;-1;Guide Pulley;Polea Guía;;FALSO;NA;800;600;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
35;GT-0820;-1;LL Grip Tape;Cinta De Grip Ll;;FALSO;NA;800;600;;;NA;;0;;;L ;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
36;GT-1209;-1;ML Grip Tape;Cinta De Grip Ml;;FALSO;NA;800;600;;;NA;;0;;;M ;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
37;GT-2908;-1;HL Grip Tape;Cinta De Grip Hl;;FALSO;NA;800;600;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
38;HJ-1213;-1;Thin-Jam Hex Nut 9;Thin-Jam Tuerca Hexagonal 9;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
39;HJ-1220;-1;Thin-Jam Hex Nut 10;Thin-Jam Tuerca Hexagonal 10;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
40;HJ-1420;-1;Thin-Jam Hex Nut 1;Thin-Jam Tuerca Hexagonal 1;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
41;HJ-1428;-1;Thin-Jam Hex Nut 2;Thin-Jam Tuerca Hexagonal 2;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
42;HJ-3410;-1;Thin-Jam Hex Nut 15;Thin-Jam Tuerca Hexagonal 15;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
43;HJ-3416;-1;Thin-Jam Hex Nut 16;Thin-Jam Tuerca Hexagonal 16;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
44;HJ-3816;-1;Thin-Jam Hex Nut 5;Thin-Jam Tuerca Hexagonal 5;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
45;HJ-3824;-1;Thin-Jam Hex Nut 6;Thin-Jam Tuerca Hexagonal 6;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
46;HJ-5161;-1;Thin-Jam Hex Nut 3;Thin-Jam Tuerca Hexagonal 3;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
47;HJ-5162;-1;Thin-Jam Hex Nut 4;Thin-Jam Tuerca Hexagonal 4;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
48;HJ-5811;-1;Thin-Jam Hex Nut 13;Thin-Jam Tuerca Hexagonal 13;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
49;HJ-5818;-1;Thin-Jam Hex Nut 14;Thin-Jam Tuerca Hexagonal 14;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
50;HJ-7161;-1;Thin-Jam Hex Nut 7;Thin-Jam Tuerca Hexagonal 7;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
51;HJ-7162;-1;Thin-Jam Hex Nut 8;Thin-Jam Tuerca Hexagonal 8;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
52;HJ-9080;-1;Thin-Jam Hex Nut 12;Thin-Jam Tuerca Hexagonal 12;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
53;HJ-9161;-1;Thin-Jam Hex Nut 11;Thin-Jam Tuerca Hexagonal 11;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
54;HN-1024;-1;Hex Nut 5;Tuerca Hexagonal 5;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
55;HN-1032;-1;Hex Nut 6;Tuerca Hexagonal 6;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
56;HN-1213;-1;Hex Nut 16;Tuerca Hexagonal 16;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
57;HN-1220;-1;Hex Nut 17;Tuerca Hexagonal 17;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
58;HN-1224;-1;Hex Nut 7;Tuerca Hexagonal 7;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
59;HN-1420;-1;Hex Nut 8;Tuerca Hexagonal 8;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
60;HN-1428;-1;Hex Nut 9;Tuerca Hexagonal 9;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
61;HN-3410;-1;Hex Nut 22;Tuerca Hexagonal 22;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
62;HN-3416;-1;Hex Nut 23;Tuerca Hexagonal 23;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
63;HN-3816;-1;Hex Nut 12;Tuerca Hexagonal 12;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
64;HN-3824;-1;Hex Nut 13;Tuerca Hexagonal 13;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
65;HN-4402;-1;Hex Nut 1;Hex Nut 1;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
66;HN-5161;-1;Hex Nut 10;Tuerca Hexagonal 10;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
67;HN-5162;-1;Hex Nut 11;Tuerca Hexagonal 11;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
68;HN-5400;-1;Hex Nut 2;Tuerca Hexagonal 2;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
69;HN-5811;-1;Hex Nut 20;Tuerca Hexagonal 20;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
70;HN-5818;-1;Hex Nut 21;Tuerca Hexagonal 21;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
71;HN-6320;-1;Hex Nut 3;Hex Nut 3;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
72;HN-7161;-1;Hex Nut 14;Tuerca Hexagonal 14;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
73;HN-7162;-1;Hex Nut 15;Tuerca Hexagonal 15;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
74;HN-8320;-1;Hex Nut 4;Hex Nut 4;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
75;HN-9161;-1;Hex Nut 18;Tuerca Hexagonal 18;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
76;HN-9168;-1;Hex Nut 19;Tuerca Hexagonal 19;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
77;HT-2981;-1;Handlebar Tube;Tubo Del Manillar;;FALSO;NA;800;600;;;NA;;1;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
78;HT-8019;-1;Head Tube;Tubo De Cabeza;;FALSO;NA;800;600;;;NA;;1;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
79;HU-6280;-1;LL Hub;Ll Hub;;FALSO;NA;500;375;;;NA;;1;;;L ;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
80;HU-8998;-1;HL Hub;Hl Hub;;FALSO;NA;500;375;;;NA;;1;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
81;KW-4091;-1;Keyed Washer;Con Clave Lavadora;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
82;LE-1000;-1;External Lock Washer 3;Bloqueo Externo Lavadora 3;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
83;LE-1200;-1;External Lock Washer 4;Bloqueo Externa Arandela 4;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
84;LE-1201;-1;External Lock Washer 9;Bloqueo Externo Arandela 9;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
85;LE-1400;-1;External Lock Washer 5;Bloqueo Externo Lavadora 5;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
86;LE-3800;-1;External Lock Washer 7;Bloqueo Externo Lavadora 7;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
87;LE-5160;-1;External Lock Washer 6;Bloqueo Externo 6 Lavadora;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
88;LE-6000;-1;External Lock Washer 1;Bloqueo Externo De Techo 1;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
89;LE-7160;-1;External Lock Washer 8;Bloqueo Externo Lavadora 8;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
90;LE-8000;-1;External Lock Washer 2;Bloqueo Externo Por Cable 2;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
91;LI-1000;-1;Internal Lock Washer 3;Bloqueo Interno Lavadora 3;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
92;LI-1200;-1;Internal Lock Washer 4;Bloqueo Interno Lavadora 4;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
93;LI-1201;-1;Internal Lock Washer 9;Bloqueo Interno Arandela 9;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
94;LI-1400;-1;Internal Lock Washer 5;Arandela De Seguridad Interna 5;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
95;LI-3800;-1;Internal Lock Washer 7;Bloqueo Interno Lavadora 7;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
96;LI-5160;-1;Internal Lock Washer 6;Bloqueo Interno Lavadora 6;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
97;LI-5800;-1;Internal Lock Washer 10;Bloqueo Interno Lavadora 10;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
98;LI-6000;-1;Internal Lock Washer 1;Bloqueo Interno De Techo 1;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
99;LI-7160;-1;Internal Lock Washer 8;Bloqueo Interno Lavadora 8;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
100;LI-8000;-1;Internal Lock Washer 2;Bloqueo Interno Por Cable 2;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
101;LJ-1213;-1;Thin-Jam Lock Nut 9;Thin-Jam Tuerca De Seguridad 9;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
102;LJ-1220;-1;Thin-Jam Lock Nut 10;Thin-Jam Tuerca De Seguridad 10;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
103;LJ-1420;-1;Thin-Jam Lock Nut 1;Thin-Jam Tuerca De Seguridad 1;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
104;LJ-1428;-1;Thin-Jam Lock Nut 2;Thin-Jam Tuerca De Seguridad 2;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
105;LJ-3410;-1;Thin-Jam Lock Nut 15;Thin-Jam Tuerca De Seguridad 15;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
106;LJ-3416;-1;Thin-Jam Lock Nut 16;Thin-Jam Tuerca De Seguridad 16;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
107;LJ-3816;-1;Thin-Jam Lock Nut 5;Thin-Jam Tuerca De Seguridad 5;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
108;LJ-3824;-1;Thin-Jam Lock Nut 6;Thin-Jam Tuerca De Seguridad 6;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
109;LJ-5161;-1;Thin-Jam Lock Nut 3;Thin-Jam Tuerca De Seguridad 3;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
110;LJ-5162;-1;Thin-Jam Lock Nut 4;Thin-Jam Tuerca De Seguridad 4;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
111;LJ-5811;-1;Thin-Jam Lock Nut 13;Thin-Jam Tuerca De Seguridad 13;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
